"cluster","n","estado","municipio","captor_principal","lugar_principal","tipo_secuestro_principal","captura_principal","recomendacion_estado","recomendacion_poblacion"
1,43,"Nuevo León","Monterrey","confianza","vía pública","Secuestro extorsivo","fuerza","En el municipio de Monterrey del estado Nuevo León, se observa una alta incidencia de secuestros del tipo 'Secuestro extorsivo', frecuentemente perpetrados por 'confianza'. Se recomienda al estado implementar medidas de seguridad enfocadas en 'vía pública'.","Se recomienda a la población del municipio de Monterrey en el estado Nuevo León, tener precaución ante posibles secuestros realizados mediante 'fuerza' en 'vía pública'. Manténgase alerta y tome medidas preventivas."
2,69,"Estado de México","Toluca","confianza","vía pública","Secuestro extorsivo","emboscada","En el municipio de Toluca del estado Estado de México, se observa una alta incidencia de secuestros del tipo 'Secuestro extorsivo', frecuentemente perpetrados por 'confianza'. Se recomienda al estado implementar medidas de seguridad enfocadas en 'vía pública'.","Se recomienda a la población del municipio de Toluca en el estado Estado de México, tener precaución ante posibles secuestros realizados mediante 'emboscada' en 'vía pública'. Manténgase alerta y tome medidas preventivas."
3,65,"Ciudad de México","Cuernavaca","confianza","casa","Secuestro extorsivo","emboscada","En el municipio de Cuernavaca del estado Ciudad de México, se observa una alta incidencia de secuestros del tipo 'Secuestro extorsivo', frecuentemente perpetrados por 'confianza'. Se recomienda al estado implementar medidas de seguridad enfocadas en 'casa'.","Se recomienda a la población del municipio de Cuernavaca en el estado Ciudad de México, tener precaución ante posibles secuestros realizados mediante 'emboscada' en 'casa'. Manténgase alerta y tome medidas preventivas."
4,35,"Tamaulipas","Reynosa","cartel","casa","Secuestro extorsivo","emboscada","En el municipio de Reynosa del estado Tamaulipas, se observa una alta incidencia de secuestros del tipo 'Secuestro extorsivo', frecuentemente perpetrados por 'cartel'. Se recomienda al estado implementar medidas de seguridad enfocadas en 'casa'.","Se recomienda a la población del municipio de Reynosa en el estado Tamaulipas, tener precaución ante posibles secuestros realizados mediante 'emboscada' en 'casa'. Manténgase alerta y tome medidas preventivas."
